,El-lab,El-modarag,Redmi,youssef,Farouk,target
496,-51,-100,-100,-100,-100,11
497,-54,-100,-100,-100,-100,11
498,-100,-100,-100,-100,-100,11
499,-51,-100,-74,-100,-100,11
500,-52,-100,-74,-100,-76,11
501,-57,-100,-68,-100,-78,11
502,-100,-100,-61,-100,-72,11
503,-100,-100,-60,-100,-100,11
504,-56,-100,-68,-100,-76,11
505,-56,-100,-64,-100,-100,11
506,-57,-100,-66,-100,-82,11
507,-69,-100,-67,-100,-100,11
508,-55,-100,-68,-100,-100,11
509,-62,-100,-66,-100,-100,11
510,-67,-100,-100,-100,-78,11
511,-66,-100,-61,-100,-74,11
512,-100,-100,-68,-100,-100,11
513,-56,-100,-71,-100,-100,11
514,-54,-100,-71,-100,-100,11
515,-49,-100,-100,-100,-100,11
516,-67,-100,-100,-100,-100,11
517,-54,-100,-100,-100,-100,11
518,-100,-100,-84,-100,-81,11
519,-55,-100,-71,-100,-100,11
520,-53,-100,-100,-100,-100,11
521,-48,-100,-100,-100,-100,11
522,-55,-100,-64,-100,-100,11
523,-60,-100,-63,-100,-75,11
524,-62,-100,-62,-100,-100,11
525,-52,-100,-65,-100,-100,11
526,-58,-100,-100,-100,-100,11
527,-66,-100,-100,-100,-100,11
528,-58,-100,-75,-100,-100,11
529,-57,-100,-73,-100,-84,11
530,-51,-100,-100,-100,-100,11
531,-58,-100,-100,-100,-100,11
532,-55,-100,-74,-100,-100,11
533,-60,-100,-100,-100,-82,11
534,-53,-100,-100,-100,-78,11
535,-55,-100,-100,-100,-100,11
536,-51,-100,-70,-100,-100,11
537,-45,-100,-100,-100,-100,11
538,-49,-100,-100,-100,-100,11
539,-66,-100,-100,-100,-83,11
540,-100,-100,-69,-100,-76,11
541,-100,-100,-77,-100,-100,11
542,-50,-100,-65,-100,-100,11
543,-71,-100,-69,-100,-100,11
544,-60,-100,-100,-100,-100,11
545,-51,-100,-100,-100,-100,11
546,-100,-100,-100,-100,-79,11
547,-62,-100,-71,-100,-100,11
548,-54,-100,-72,-100,-100,11
549,-67,-100,-68,-100,-76,11
550,-70,-100,-100,-100,-100,11
551,-100,-100,-76,-100,-76,11
552,-56,-100,-70,-100,-100,11
553,-49,-100,-100,-100,-100,11
554,-100,-100,-71,-100,-100,11
555,-54,-100,-73,-100,-100,11
556,-58,-100,-70,-100,-100,11
557,-100,-100,-100,-100,-100,12
558,-100,-100,-69,-100,-72,12
559,-100,-100,-72,-100,-74,12
560,-92,-100,-100,-100,-76,12
561,-100,-100,-83,-100,-69,12
562,-100,-100,-100,-100,-78,12
563,-100,-100,-86,-100,-79,12
564,-78,-100,-75,-100,-72,12
565,-100,-100,-79,-100,-70,12
566,-100,-100,-100,-100,-78,12
567,-78,-100,-82,-100,-75,12
568,-79,-100,-100,-100,-71,12
569,-100,-100,-100,-100,-71,12
570,-100,-100,-100,-100,-72,12
571,-100,-100,-100,-100,-100,12
572,-100,-100,-100,-100,-100,12
573,-100,-100,-100,-100,-100,12
574,-100,-100,-100,-100,-70,12
575,-100,-100,-74,-100,-73,12
576,-100,-100,-100,-100,-100,12
577,-81,-100,-100,-100,-72,12
578,-100,-100,-100,-100,-71,12
579,-100,-100,-100,-100,-73,12
580,-100,-100,-72,-100,-70,12
581,-100,-100,-100,-100,-75,12
582,-100,-100,-76,-100,-68,12
583,-100,-100,-100,-100,-100,12
584,-100,-100,-80,-100,-70,12
585,-100,-100,-81,-100,-73,12
586,-100,-100,-100,-100,-100,12
587,-80,-100,-70,-100,-73,12
588,-78,-100,-84,-100,-100,12
589,-76,-100,-80,-100,-74,12
590,-82,-100,-100,-100,-76,12
591,-100,-100,-78,-100,-76,12
592,-100,-100,-100,-100,-73,12
593,-83,-100,-100,-100,-100,12
594,-100,-100,-100,-100,-100,12
595,-100,-100,-100,-100,-73,12
596,-100,-100,-100,-100,-71,12
597,-100,-100,-74,-100,-75,12
598,-82,-100,-80,-100,-79,12
599,-79,-100,-100,-100,-100,12
600,-80,-100,-100,-100,-100,12
601,-76,-100,-100,-100,-72,12
602,-100,-100,-82,-100,-76,12
603,-100,-100,-78,-100,-78,12
604,-100,-100,-100,-100,-100,12
605,-76,-100,-100,-100,-73,12
606,-77,-100,-83,-100,-73,12
607,-100,-100,-100,-100,-100,12
608,-100,-100,-82,-100,-72,12
609,-100,-100,-100,-100,-72,12
610,-100,-100,-74,-100,-100,12
611,-100,-100,-100,-100,-72,12
612,-77,-100,-100,-100,-71,12
613,-100,-100,-77,-100,-74,12
614,-100,-100,-77,-100,-79,12
615,-100,-100,-74,-100,-100,12
616,-100,-100,-100,-100,-100,12
617,-100,-100,-100,-100,-100,12
618,-77,-100,-76,-100,-68,12
619,-100,-100,-69,-100,-73,12
620,-100,-100,-100,-100,-100,12
621,-77,-100,-100,-100,-100,12
622,-76,-100,-78,-100,-100,12
623,-100,-100,-100,-100,-75,12
624,-100,-100,-77,-100,-74,12
625,-100,-100,-80,-100,-76,12
626,-100,-100,-72,-100,-71,12
627,-100,-100,-100,-100,-72,12
628,-82,-100,-85,-100,-78,12
629,-81,-100,-80,-100,-78,12
630,-100,-100,-73,-100,-71,12
631,-100,-100,-100,-100,-100,12
632,-100,-100,-76,-100,-73,12
