WE_41B884,youssef,STUDBME2,CMP_LAB3,El-modarag,STUDBME1,CMP_LAB4,CMP_LAB2,ARC3,Sbme-Staff,CMP_LAB1,El-lab,Mo_Hamza,Farouk,RehabLab,Gamil,TP-Link_463C,redmi,ARC1,target
-59,-81,-57,-100,-68,-53,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,7
-51,-100,-49,-100,-100,-100,-100,-100,-100,-100,-100,-63,-69,-100,-100,-100,-100,-100,-100,13
-69,-100,-56,-100,-100,-100,-100,-100,-100,-100,-100,-51,-67,-100,-100,-100,-100,-100,-100,12
-68,-100,-54,-100,-100,-100,-100,-100,-100,-100,-100,-47,-100,-100,-100,-100,-100,-100,-100,12
-56,-100,-56,-100,-100,-67,-100,-100,-100,-100,-100,-100,-100,-69,-100,-100,-100,-100,-100,10
-75,-79,-71,-100,-79,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,6
-55,-100,-53,-100,-100,-100,-100,-52,-100,-100,-53,-66,-70,-63,-72,-100,-100,-100,-100,10
-75,-71,-74,-83,-69,-66,-100,-100,-100,-100,-86,-100,-100,-100,-100,-78,-100,-100,-100,8
-44,-100,-49,-100,-100,-57,-57,-57,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,9
-53,-100,-54,-100,-100,-58,-100,-100,-100,-100,-100,-100,-70,-55,-58,-100,-100,-100,-100,11
-71,-85,-71,-72,-69,-41,-100,-100,-65,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,5
-60,-72,-59,-100,-100,-55,-71,-67,-100,-100,-70,-100,-100,-100,-100,-100,-100,-100,-100,7
-46,-100,-49,-100,-100,-66,-100,-58,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,9
-40,-100,-48,-69,-100,-47,-64,-71,-100,-100,-67,-100,-100,-68,-100,-100,-100,-100,-100,9
-66,-82,-67,-100,-73,-66,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,8
-65,-94,-64,-100,-69,-100,-100,-100,-69,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,5
-69,-77,-74,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-85,-100,-100,-100,8
-68,-100,-58,-100,-100,-100,-100,-76,-100,-100,-100,-48,-65,-100,-100,-100,-100,-100,-100,12
-67,-93,-62,-100,-100,-48,-100,-72,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-78,5
-72,-100,-54,-68,-100,-100,-100,-70,-100,-100,-68,-54,-71,-100,-100,-100,-100,-100,-100,13
-56,-100,-48,-100,-100,-100,-100,-100,-100,-100,-51,-100,-74,-64,-100,-100,-100,-100,-100,10
-82,-86,-80,-80,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,6
-76,-83,-76,-100,-90,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,6
-63,-100,-54,-100,-100,-69,-100,-45,-100,-100,-43,-100,-77,-51,-70,-100,-100,-100,-100,11
-68,-100,-65,-100,-75,-60,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,6
-42,-100,-45,-56,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,9
-59,-83,-57,-100,-100,-41,-100,-100,-100,-81,-100,-100,-100,-100,-100,-67,-100,-100,-100,5
-49,-100,-50,-100,-100,-52,-62,-61,-100,-100,-61,-100,-100,-68,-100,-100,-100,-100,-100,9
-67,-100,-55,-70,-100,-100,-69,-100,-100,-100,-100,-60,-72,-100,-100,-100,-100,-100,-100,13
-58,-100,-55,-46,-100,-74,-100,-42,-100,-100,-42,-100,-100,-57,-60,-100,-100,-100,-100,11
-62,-85,-65,-100,-100,-70,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,6
-70,-86,-71,-100,-76,-70,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,6
-66,-90,-69,-100,-64,-49,-100,-100,-100,-75,-100,-100,-100,-83,-100,-71,-100,-100,-79,5
-81,-82,-80,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,6
-75,-100,-83,-100,-81,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,6
-60,-100,-48,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-60,-100,-100,-100,-100,-100,10
-48,-100,-46,-100,-100,-59,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,9
-66,-100,-60,-100,-100,-100,-100,-100,-100,-100,-100,-52,-74,-100,-100,-100,-100,-100,-100,12
-59,-100,-55,-100,-100,-100,-100,-100,-100,-100,-100,-100,-59,-100,-71,-100,-100,-100,-100,10
-48,-100,-44,-62,-100,-100,-100,-62,-100,-100,-100,-56,-72,-100,-100,-100,-100,-100,-100,13
-46,-100,-47,-59,-100,-57,-59,-61,-100,-100,-61,-100,-100,-71,-100,-100,-100,-100,-100,9
-57,-100,-54,-100,-100,-100,-100,-100,-100,-100,-100,-52,-59,-100,-100,-100,-100,-100,-100,13
-59,-89,-49,-100,-70,-47,-100,-69,-100,-100,-100,-100,-100,-76,-100,-75,-100,-100,-100,5
