,STUDBME1,STUDBME2,CMP_LAB1,CMP_LAB2,CMP_LAB3,CMP_LAB4,target
98,-54,-88,-87,-84,-86,-84,5
99,-54,-87,-87,-84,-86,-84,5
100,-52,-86,-87,-84,-86,-84,5
101,-46,-86,-87,-84,-86,-84,5
102,-46,-89,-87,-84,-86,-84,5
103,-46,-86,-87,-84,-87,-84,5
104,-46,-90,-87,-84,-87,-84,5
105,-50,-90,-87,-84,-87,-84,5
106,-54,-86,-87,-84,-87,-84,5
107,-55,-87,-87,-84,-87,-84,5
108,-55,-87,-87,-84,-85,-84,5
109,-55,-87,-87,-84,-85,-84,5
110,-55,-90,-87,-84,-85,-84,5
111,-55,-91,-87,-84,-85,-84,5
112,-51,-91,-87,-84,-85,-84,5
113,-51,-85,-87,-84,-85,-84,5
114,-51,-85,-87,-84,-85,-84,5
115,-51,-85,-87,-84,-85,-84,5
116,-51,-92,-87,-84,-85,-84,5
117,-51,-83,-87,-84,-85,-84,5
118,-44,-91,0,0,0,0,5
119,-44,-91,0,0,0,0,5
120,-47,-91,0,0,0,0,5
121,-47,-88,0,0,0,0,5
122,-44,-90,0,0,0,0,5
123,-44,-88,0,0,0,0,5
124,-44,-82,0,0,0,0,5
125,-44,-88,0,0,-85,0,5
126,-56,-87,0,0,-85,0,5
127,-56,-88,0,0,-85,0,5
128,-47,-84,0,0,-85,-86,5
129,-47,-84,0,0,-85,-86,5
130,-47,-84,0,0,-85,-86,5
131,-47,-85,0,0,-85,-86,5
132,-44,-88,0,0,-85,-86,5
133,-44,-88,0,0,-85,-86,5
134,-53,-82,0,0,-85,-86,5
135,-53,-90,0,0,-85,-86,5
136,-53,-85,0,0,-85,-86,5
137,-53,-84,0,0,-85,-86,5
138,-50,-83,-84,0,-85,-84,5
139,-50,-83,-84,0,-85,-84,5
140,-50,-84,-84,0,-85,-84,5
141,-50,-84,-84,0,-80,-84,5
142,-50,-84,-84,0,-80,-92,5
143,-50,-89,-84,0,-80,-92,5
144,-45,-84,-84,0,-80,-92,5
145,-45,-86,-84,0,-80,-92,5
146,-42,-86,-84,0,-80,-92,5
147,-42,-86,-84,0,-80,-92,5
148,-42,-92,-84,0,-80,-92,5
0,-41,-56,-71,-72,-73,-72,6
1,-47,-57,-61,-63,-60,-62,6
2,-47,-52,-68,-70,-69,-67,6
3,-47,-63,-73,-70,-70,-72,6
4,-52,-65,-75,-70,-78,-77,6
5,-45,-69,-74,-71,-78,-77,6
6,-45,-64,-74,-76,-78,-77,6
7,-45,-67,-74,-72,-78,-77,6
8,-45,-68,-74,-72,-77,-77,6
9,-71,-68,-77,-72,-77,-75,6
10,-70,-72,-71,-73,-74,-76,6
11,-70,-70,-70,-73,-67,-76,6
12,-70,-72,-70,-77,-77,-77,6
13,-70,-81,-70,-77,-87,-86,6
14,-73,-76,-80,-77,-87,-84,6
15,-70,-80,-83,-80,-87,-84,6
16,-70,-78,-83,-86,-83,-84,6
17,-70,-76,-83,-86,-83,-83,6
18,-70,-77,-84,-86,-84,-82,6
19,-73,-78,-85,-86,-84,-79,6
20,-73,-81,-87,-87,-84,-79,6
0,0,-53,0,-68,0,0,7
1,0,-63,0,-68,-71,-72,7
2,0,-62,-70,-70,-71,-71,7
3,-57,-63,-71,-70,-71,-71,7
4,-57,-67,-71,-70,-70,-68,7
5,-66,-65,-75,-75,-75,-72,7
6,-66,-67,-72,-75,-75,-73,7
7,-68,-65,-72,-82,-75,-73,7
8,-68,-74,-72,-82,-83,-73,7
9,-71,-70,-72,-77,-74,-73,7
10,-71,-70,-73,-74,-74,-75,7
11,-71,-76,-81,-81,-78,-79,7
12,-71,-77,-81,-79,-78,-79,7
13,-70,-77,-86,-81,-83,-86,7
14,-70,-77,-86,-81,-79,-84,7
15,-70,-81,-81,-81,-79,-79,7
16,-70,-82,-81,-81,-79,-79,7
17,-70,-81,-81,-81,-79,-79,7
18,-70,-82,-81,-81,-83,-79,7
19,-67,-84,-81,-81,-83,-78,7
20,-67,-78,-82,-81,-83,-83,7
21,-67,-80,-87,-88,-86,-85,7
22,-67,-79,-87,-87,-86,-85,7
0,0,-46,-58,-59,-57,-57,8
1,-47,-52,-63,-68,-68,-69,8
2,-47,-49,-69,-66,-67,-67,8
3,-47,-56,-63,-62,-64,-62,8
4,-47,-50,-62,-63,-61,-62,8
5,-64,-45,-55,-55,-57,-55,8
6,-64,-51,-55,-55,-64,-65,8
7,-55,-56,-70,-69,-69,-69,8
8,-55,-47,-68,-67,-69,-69,8
9,-55,-44,-65,-64,-65,-63,8
10,-55,-51,-55,-55,-55,-56,8
11,-55,-47,-57,-59,-62,-60,8
12,-55,-50,-59,-57,-60,-57,8
13,-55,-50,-64,-63,-65,-63,8
14,-55,-43,-53,-56,-56,-59,8
15,-55,-48,-66,-56,-56,-65,8
16,-55,-47,-58,-65,-56,-61,8
17,-55,-47,-63,-61,-64,-61,8
18,-51,-44,-54,-54,-51,-53,8
19,-55,-38,-55,-54,-51,-58,8
20,-55,-35,-58,-60,-51,-58,8
